Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
573,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505---Copy-_2.jpg?v=1756562543&width=940,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu (srcset variant)",.jpg,138.67 KB,910x1125,Success,
574,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505---Copy-_2.jpg?v=1756562543&width=533,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu (srcset variant)",.jpg,52.89 KB,533x659,Success,
575,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505-_1.jpg?v=1756562594&width=1066,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu",.jpg,410.09 KB,910x1125,Success,
576,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505-_1.jpg?v=1756562594&width=533,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu (srcset variant)",.jpg,159.32 KB,533x659,Success,
577,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395---Copy-_2_6ce3d061-7277-4a5b-988e-234139e25013.jpg?v=1756561727&width=940,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,141.58 KB,910x1125,Success,
578,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395-_1_ad63d03d-7179-49fd-b6aa-88a248a2307b.jpg?v=1756561727&width=533,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,155.57 KB,533x659,Success,
579,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505-_1.jpg?v=1756562594&width=940,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu (srcset variant)",.jpg,410.09 KB,910x1125,Success,
580,https://www.pothys.com/cdn/shop/files/5-msa-035-rs-10505-_1.jpg?v=1756562594&width=720,"Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu","Pink soft silk saree with zari floral buttas, contrast floral design border & zari-rich jaal pallu (srcset variant)",.jpg,283.03 KB,720x890,Success,
581,https://www.pothys.com/cdn/shop/files/8-msa-038-rs-11225---Copy-_2.jpg?v=1756563043&width=1066,"Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu","Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu",.jpg,128.27 KB,910x1125,Success,
582,https://www.pothys.com/cdn/shop/files/1-msa-031-rs-11395-_1_ad63d03d-7179-49fd-b6aa-88a248a2307b.jpg?v=1756561727&width=940,"Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs","Brown tree buttas woven soft silk saree, contrast tree motif border & pallu of jaal designs (srcset variant)",.jpg,394.62 KB,910x1125,Success,
583,https://www.pothys.com/cdn/shop/files/8-msa-038-rs-11225---Copy-_2.jpg?v=1756563043&width=533,"Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu","Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu (srcset variant)",.jpg,46.48 KB,533x659,Success,
584,https://www.pothys.com/cdn/shop/files/8-msa-038-rs-11225---Copy-_2.jpg?v=1756563043&width=720,"Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu","Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu (srcset variant)",.jpg,85.17 KB,720x890,Success,
585,https://www.pothys.com/cdn/shop/files/8-msa-038-rs-11225---Copy-_2.jpg?v=1756563043&width=940,"Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu","Grey zari buttas soft silk saree, piping zari border & contrast intricately zari woven pallu (srcset variant)",.jpg,128.27 KB,910x1125,Success,
586,https://www.pothys.com/cdn/shop/files/02_03df7251-800b-404f-abea-6444f5279483.jpg?v=1760122535,files/02_03df7251-800b-404f-abea-6444f5279483.jpg,files/02_03df7251-800b-404f-abea-6444f5279483.jpg,.jpg,139.08 KB,655x977,Success,
587,https://www.pothys.com/cdn/shop/files/03_49f36363-47f7-47c5-857a-3fa9d1ddfd95.jpg?v=1760122535,files/03_49f36363-47f7-47c5-857a-3fa9d1ddfd95.jpg,files/03_49f36363-47f7-47c5-857a-3fa9d1ddfd95.jpg,.jpg,105.81 KB,655x977,Success,
